sweep_id,pdb_id_id,wavelength,MR_success,TFZ,LLG,PAK,mr_reso,mr_sg,mr_sg_no,RMSD,VRMS,eLLG,tncs,model_pdb,seq_ident,model_res,anomalousCC,IoverSigma,completeness,diffI,RmergeI,lowreslimit,RpimI,multiplicity,RmeasdiffI,anomalousslope,diffF,wilsonbfactor,RmeasI,highreslimit,RpimdiffI,anomalousmulti,RmergediffI,totalobservations,anomalouscompl,cchalf,totalunique
1222,1191,0.9791,0.00,11.00,76.00,8.00,1.88,P3221,154,1.00,1.30,255.20,0.00,4E9K,29.38,2.31,0.5915,12.77,99.87,1.591,0.1051,69.25,0.0416,7.22,0.0993,1.041,0.110,27.76,0.1131,1.90,0.0506,3.77,0.0852,"222,738",99.70,0.9988,"30,833"
721,1194,0.9763,1.00,17.80,257.00,5.00,1.74,P212121,19,0.82,1.10,"1,108.20",0.00,3D9H,53.54,2.20,-0.0403,8.17,100.00,0.000,0.1728,64.37,0.0621,8.44,0.1891,0.747,0.000,12.65,0.1840,1.74,0.0874,4.50,0.1672,"223,531",99.77,0.9961,"26,472"
384,1195,0.9200,0.00,6.50,42.00,0.00,2.69,I222,23,1.35,2.31,546.70,0.00,2P6R,30.82,3.00,-0.3098,8.85,98.67,0.000,0.1146,87.49,0.0492,6.49,0.1308,0.621,0.000,70.92,0.1251,2.69,0.0702,3.39,0.1099,"217,896",98.74,0.9909,"33,572"
341,1196,1.0000,1.00,28.50,"1,070.00",2.00,1.54,P212121,19,0.59,0.33,"1,127.90",0.00,4ORL,68.18,1.40,-0.1773,11.55,97.47,0.000,0.0518,34.53,0.0316,3.41,0.0620,0.697,0.000,16.51,0.0610,1.54,0.0406,1.96,0.0466,"49,420",83.58,0.9983,"14,490"
1296,1200,0.9050,1.00,26.70,545.00,0.00,2.22,P212121,19,0.79,0.85,850.70,0.00,5E8S,65.65,1.45,-0.0259,7.88,82.93,0.000,0.1018,58.51,0.0658,2.83,0.1199,0.889,0.000,22.67,0.1220,2.22,0.0787,1.69,0.0898,"55,597",65.35,0.9929,"19,625"
150,1204,0.9786,0.00,5.60,21.00,4.00,2.07,C2221,20,1.14,2.16,528.80,0.00,2TLX,19.13,1.65,0.0261,6.15,72.32,1.381,0.0871,35.43,0.0588,2.53,0.0983,0.840,0.178,27.45,0.1057,2.07,0.0664,1.52,0.0722,"45,916",53.51,0.9944,"18,118"
151,1204,0.9116,0.00,5.60,21.00,4.00,2.07,C2221,20,1.14,2.16,528.80,0.00,2TLX,19.13,1.65,0.1502,6.25,75.27,1.421,0.0886,35.43,0.0598,2.52,0.0972,0.878,0.183,29.21,0.1076,2.08,0.0657,1.51,0.0713,"46,892",55.58,0.9945,"18,600"
152,1204,0.9781,0.00,5.60,21.00,4.00,2.07,C2221,20,1.14,2.16,528.80,0.00,2TLX,19.13,1.65,0.3345,6.45,97.65,1.564,0.1158,37.90,0.0734,3.22,0.1207,0.882,0.207,36.66,0.1379,2.30,0.0810,1.75,0.0890,"57,687",92.35,0.9928,"17,915"
1280,1205,0.9784,1.00,13.90,129.00,1.00,1.38,P41212,92,1.05,1.38,601.00,0.00,1QLW,34.26,1.09,0.4251,8.87,98.30,1.475,0.0996,52.43,0.0401,6.56,0.1004,0.700,0.148,18.38,0.1077,1.38,0.0498,3.58,0.0866,"505,106",93.08,0.9989,"76,969"
1281,1205,0.9790,1.00,13.90,129.00,1.00,1.38,P41212,92,1.05,1.38,601.00,0.00,1QLW,34.26,1.09,0.1959,8.95,98.92,1.383,0.1005,52.45,0.0404,6.69,0.1051,0.673,0.148,18.56,0.1086,1.40,0.0522,3.64,0.0906,"497,005",94.35,0.9990,"74,275"
1148,1207,0.9786,0.00,5.70,27.00,7.00,1.69,P62,171,0.78,1.14,98.00,0.00,2L7Q,51.28,0.00,0.5677,19.05,97.05,1.340,0.0506,41.58,0.0217,6.02,0.0481,0.968,0.087,24.61,0.0552,1.69,0.0253,3.23,0.0405,"240,147",89.39,0.9994,"39,872"
1149,1207,0.9184,0.00,5.70,27.00,7.00,1.69,P62,171,0.78,1.14,98.00,0.00,2L7Q,51.28,0.00,0.5988,18.42,98.09,1.333,0.0505,41.58,0.0216,6.01,0.0476,0.948,0.090,24.99,0.0550,1.69,0.0250,3.21,0.0401,"242,302",91.28,0.9995,"40,311"
1150,1207,0.9782,0.00,5.70,27.00,7.00,1.69,P62,171,0.78,1.14,98.00,0.00,2L7Q,51.28,0.00,0.7125,17.69,99.97,1.453,0.0598,63.55,0.0252,6.47,0.0528,0.935,0.107,25.01,0.0650,1.71,0.0275,3.41,0.0446,"256,314",95.74,0.9993,"39,633"
1246,1210,0.9173,1.00,41.20,"3,028.00",0.00,1.48,C121,5,0.70,0.38,"2,653.10",0.00,4UAK,78.61,1.73,-0.3172,14.54,96.97,0.000,0.0699,52.70,0.0205,11.38,0.0739,0.792,0.000,20.78,0.0729,1.48,0.0287,5.83,0.0679,"860,369",96.69,0.9995,"75,609"
737,1212,0.9795,0.00,8.60,47.00,3.00,1.52,P61,169,0.95,1.35,336.00,0.00,5WY9,32.92,1.45,-0.0578,17.13,99.98,0.000,0.0726,38.85,0.0204,12.53,0.0752,0.893,0.000,20.10,0.0754,1.52,0.0284,6.45,0.0695,"276,725",96.18,0.9996,"22,077"
586,1216,0.9795,0.00,5.80,20.00,10.00,2.02,P3121,152,0.71,1.87,"1,072.10",0.00,4U5W,61.85,1.86,-0.0723,7.17,100.00,1.345,0.1340,47.86,0.0649,5.23,0.1484,0.743,0.144,43.33,0.1492,2.02,0.0880,2.79,0.1190,"78,393",99.89,0.9965,"14,984"
587,1216,0.9537,0.00,5.80,20.00,10.00,2.02,P3121,152,0.71,1.87,"1,072.10",0.00,4U5W,61.85,1.86,-0.0685,7.36,100.00,1.339,0.1344,47.95,0.0651,5.23,0.1484,0.756,0.143,40.35,0.1496,2.06,0.0880,2.79,0.1190,"73,897",99.87,0.9963,"14,133"
588,1216,0.9793,0.00,5.80,20.00,10.00,2.02,P3121,152,0.71,1.87,"1,072.10",0.00,4U5W,61.85,1.86,-0.0761,7.40,100.00,1.319,0.1352,47.94,0.0653,5.23,0.1496,0.725,0.143,41.80,0.1504,2.07,0.0886,2.79,0.1201,"72,937",99.89,0.9964,"13,948"
284,1217,0.9793,0.00,6.50,37.00,3.00,1.38,P212121,19,1.11,2.03,537.00,0.00,3CER,25.81,2.40,0.0893,6.43,94.47,1.231,0.1183,36.50,0.0668,3.58,0.1249,1.060,0.152,13.46,0.1368,1.38,0.0781,1.97,0.0966,"252,137",84.84,0.9890,"70,495"
285,1217,0.9611,0.00,6.50,37.00,3.00,1.38,P212121,19,1.11,2.03,537.00,0.00,3CER,25.81,2.40,-0.2015,6.34,95.57,1.096,0.1099,36.51,0.0624,3.60,0.1251,0.930,0.141,14.13,0.1273,1.37,0.0783,1.97,0.0967,"262,378",86.90,0.9895,"72,793"
286,1217,0.9793,0.00,6.50,37.00,3.00,1.38,P212121,19,1.11,2.03,537.00,0.00,3CER,25.81,2.40,0.0181,6.68,97.88,1.226,0.1251,36.54,0.0707,3.69,0.1340,1.045,0.159,13.83,0.1447,1.47,0.0838,1.99,0.1037,"223,699",92.57,0.9881,"60,545"
1306,1218,0.9999,1.00,12.60,401.00,6.00,1.35,C121,5,0.67,0.67,724.30,0.00,3EAZ,56.12,1.31,-0.4003,13.05,97.87,0.639,0.0569,25.59,0.0268,5.11,0.0687,0.601,0.044,19.73,0.0631,1.35,0.0400,2.63,0.0557,"101,850",95.31,0.9986,"19,948"
1307,1218,0.9793,1.00,12.60,401.00,6.00,1.35,C121,5,0.67,0.67,724.30,0.00,3EAZ,56.12,1.31,0.8434,13.24,98.07,1.277,0.0509,40.44,0.0285,4.11,0.0344,1.028,0.072,21.03,0.0584,1.49,0.0225,2.11,0.0258,"61,399",96.44,0.9988,"14,923"
1290,1219,1.0121,0.00,7.00,59.00,6.00,1.97,C121,5,1.03,1.42,373.70,0.00,5TE0,36.73,1.90,-0.0119,10.30,90.89,0.000,0.0715,72.09,0.0331,4.58,0.0763,0.869,0.000,31.93,0.0792,1.97,0.0420,2.53,0.0632,"126,196",79.78,0.9984,"27,549"
564,1225,0.9794,0.00,2.90,11.00,9.00,1.37,C121,5,1.15,2.18,392.30,0.00,3SKV,20.31,2.49,0.4091,9.74,98.71,1.136,0.1026,50.50,0.0508,4.95,0.1007,1.010,0.130,6.92,0.1150,1.37,0.0609,2.51,0.0796,"327,111",98.65,0.9949,"66,041"
418,123,0.9792,0.00,4.30,24.00,6.00,1.90,P1211,4,1.00,1.48,119.50,0.00,3I09,41.87,1.80,0.3345,6.46,99.22,1.272,0.1137,43.23,0.0807,2.83,0.1158,1.064,0.182,16.77,0.1401,1.90,0.0816,1.47,0.0821,"179,998",95.69,0.9876,"63,645"
419,123,0.9116,0.00,4.30,24.00,6.00,1.90,P1211,4,1.00,1.48,119.50,0.00,3I09,41.87,1.80,-0.1158,6.33,99.11,1.092,0.0948,37.40,0.0667,2.83,0.1144,0.874,0.168,16.87,0.1164,1.87,0.0806,1.48,0.0811,"188,792",95.47,0.9923,"66,662"
420,123,0.9790,0.00,4.30,24.00,6.00,1.90,P1211,4,1.00,1.48,119.50,0.00,3I09,41.87,1.80,0.1640,6.41,99.16,1.222,0.1104,43.28,0.0782,2.83,0.1215,0.985,0.184,17.00,0.1359,1.96,0.0857,1.48,0.0862,"164,086",95.60,0.9894,"57,996"
413,1230,0.9763,0.00,4.80,26.00,10.00,1.93,P3221,154,1.09,1.92,301.10,0.00,4P7X,21.51,1.30,-0.0774,11.66,100.00,0.000,0.0744,67.16,0.0295,7.29,0.0807,0.800,0.000,39.18,0.0802,1.93,0.0411,3.76,0.0692,"257,584",99.98,0.9983,"35,350"
65,1241,0.9795,1.00,29.90,"4,058.00",0.00,1.64,P6322,182,0.51,0.34,374.90,1.00,4IAB,80.99,1.66,0.7490,13.54,99.78,2.074,0.1842,51.52,0.0310,34.52,0.1773,1.147,0.130,16.49,0.1869,1.64,0.0404,18.41,0.1726,"1,537,740",99.81,0.9989,"44,550"
698,1242,0.9792,0.00,5.10,24.00,5.00,1.81,P42212,94,0.96,1.84,438.20,0.00,2PQQ,23.88,2.00,0.6271,13.26,100.00,1.649,0.1049,35.45,0.0419,7.09,0.0984,1.197,0.125,21.92,0.1132,1.81,0.0499,3.85,0.0847,"110,806",99.92,0.9984,"15,622"
699,1242,0.9116,0.00,5.10,24.00,5.00,1.81,P42212,94,0.96,1.84,438.20,0.00,2PQQ,23.88,2.00,0.3424,13.43,100.00,1.318,0.0931,33.25,0.0372,7.14,0.0956,1.037,0.111,22.21,0.1004,1.82,0.0483,3.88,0.0824,"109,929",99.98,0.9988,"15,386"
700,1242,0.9790,0.00,5.10,24.00,5.00,1.81,P42212,94,0.96,1.84,438.20,0.00,2PQQ,23.88,2.00,0.4849,13.24,100.00,1.455,0.1021,33.27,0.0408,7.12,0.1014,1.103,0.119,22.02,0.1101,1.83,0.0514,3.87,0.0873,"107,773",99.98,0.9986,"15,143"
240,1243,0.9795,0.00,5.90,31.00,6.00,1.44,P3221,154,1.25,2.08,390.70,0.00,4L8K,24.50,2.26,0.4995,8.56,99.07,1.580,0.0960,48.63,0.0554,3.82,0.0876,1.172,0.146,13.36,0.1116,1.44,0.0551,2.04,0.0674,"400,692",92.26,0.9927,"104,804"
177,1247,0.9200,0.00,7.40,71.00,5.00,1.16,C121,5,0.97,1.65,966.50,0.00,4AZF,42.61,2.55,0.0935,9.87,84.26,0.000,0.0785,60.11,0.0401,4.48,0.0858,0.937,0.000,8.21,0.0885,1.16,0.0525,2.30,0.0672,"539,185",81.83,0.9986,"120,221"
525,1248,0.9763,1.00,12.10,109.00,6.00,1.59,P65,170,0.92,0.92,199.80,0.00,3DRZ,41.18,1.90,0.0342,14.56,99.84,0.000,0.0518,38.40,0.0246,5.27,0.0571,0.864,0.000,19.92,0.0575,1.59,0.0328,2.76,0.0464,"79,463",96.52,0.9985,"15,074"
365,125,0.9794,1.00,44.50,"2,203.00",0.00,1.12,C121,5,0.74,0.51,320.80,0.00,3D6K,69.43,2.00,0.3215,11.34,74.62,1.051,0.0602,47.91,0.0369,3.42,0.0601,1.053,0.085,7.26,0.0708,1.12,0.0415,1.85,0.0433,"885,272",65.77,0.9975,"258,712"
366,125,0.9184,1.00,44.50,"2,203.00",0.00,1.12,C121,5,0.74,0.51,320.80,0.00,3D6K,69.43,2.00,0.1884,9.95,83.73,0.985,0.0598,47.94,0.0367,3.46,0.0638,0.913,0.090,7.54,0.0704,1.10,0.0441,1.86,0.0460,"1,068,276",74.40,0.9980,"309,141"
367,125,0.9791,1.00,44.50,"2,203.00",0.00,1.12,C121,5,0.74,0.51,320.80,0.00,3D6K,69.43,2.00,0.5266,10.10,92.28,1.086,0.0632,48.02,0.0388,3.54,0.0587,0.935,0.107,7.64,0.0743,1.24,0.0408,1.89,0.0422,"843,402",83.72,0.9982,"237,981"
1004,1252,1.0000,1.00,17.30,200.00,0.00,2.19,P41212,92,0.75,1.27,"1,518.60",0.00,3PLZ,59.59,1.75,-0.1240,24.85,99.99,0.000,0.0347,66.01,0.0108,11.92,0.0368,0.694,0.000,63.27,0.0365,2.19,0.0141,6.48,0.0338,"252,633",99.54,0.9911,"21,200"
1285,1266,0.9801,0.00,6.70,37.00,2.00,2.46,P42212,94,1.08,1.17,37.30,0.00,1XPN,99.33,0.00,0.0174,15.73,97.22,0.965,0.0624,59.59,0.0232,7.27,0.0663,0.880,0.067,65.93,0.0670,2.46,0.0308,3.84,0.0580,"309,171",97.91,0.9991,"42,540"
1286,1266,0.9184,0.00,6.70,37.00,2.00,2.46,P42212,94,1.08,1.17,37.30,0.00,1XPN,99.33,0.00,0.0447,15.36,100.00,1.069,0.0672,59.26,0.0265,7.17,0.0715,0.871,0.072,55.92,0.0724,2.42,0.0349,3.85,0.0618,"327,626",97.24,0.9989,"45,716"
1287,1266,0.9794,0.00,6.70,37.00,2.00,2.46,P42212,94,1.08,1.17,37.30,0.00,1XPN,99.33,0.00,0.5466,22.58,99.55,1.377,0.0694,66.04,0.0187,14.08,0.0673,1.062,0.061,55.45,0.0720,2.44,0.0242,7.47,0.0627,"618,906",99.42,0.9995,"43,949"
515,1271,0.9797,0.00,4.90,14.00,6.00,1.25,C121,5,1.04,1.90,315.10,0.00,2W7Q,24.53,1.88,-0.1210,8.05,84.93,0.852,0.0511,29.87,0.0377,2.36,0.0646,0.688,0.092,9.24,0.0639,1.25,0.0453,1.35,0.0460,"106,720",66.37,0.9981,"45,283"
516,1271,0.9184,0.00,4.90,14.00,6.00,1.25,C121,5,1.04,1.90,315.10,0.00,2W7Q,24.53,1.88,0.1094,7.40,92.79,0.893,0.0539,29.88,0.0397,2.45,0.0640,0.645,0.102,9.47,0.0673,1.26,0.0450,1.37,0.0455,"118,454",76.11,0.9981,"48,308"
517,1271,0.9789,0.00,4.90,14.00,6.00,1.25,C121,5,1.04,1.90,315.10,0.00,2W7Q,24.53,1.88,0.2695,8.04,88.24,1.020,0.0583,29.89,0.0433,2.38,0.0619,0.750,0.104,9.38,0.0730,1.28,0.0434,1.36,0.0441,"104,374",69.95,0.9976,"43,809"
875,1272,0.9788,0.00,6.00,24.00,1.00,1.85,P3121,152,1.11,1.81,258.80,0.00,3G14,21.28,1.75,0.4650,11.27,91.84,0.840,0.0759,39.32,0.0263,8.03,0.0745,0.793,0.070,29.79,0.0806,1.85,0.0319,4.49,0.0671,"153,832",86.61,0.9981,"19,146"
876,1272,0.9790,0.00,6.00,24.00,1.00,1.85,P3121,152,1.11,1.81,258.80,0.00,3G14,21.28,1.75,0.1535,11.56,91.20,0.791,0.0886,39.39,0.0307,7.95,0.0910,0.806,0.065,30.08,0.0940,1.84,0.0387,4.45,0.0821,"153,623",85.72,0.9971,"19,318"
877,1272,0.9184,0.00,6.00,24.00,1.00,1.85,P3121,152,1.11,1.81,258.80,0.00,3G14,21.28,1.75,-0.0653,12.55,95.99,0.750,0.0929,39.34,0.0252,10.70,0.0964,0.679,0.061,30.03,0.0965,1.82,0.0331,5.92,0.0903,"224,166",92.51,0.9979,"20,946"
353,1275,0.9763,1.00,18.00,231.00,1.00,1.63,P21212,18,0.67,0.67,250.00,0.00,4BC6,76.03,2.20,-0.2395,8.35,100.00,0.000,0.1019,69.98,0.0443,6.43,0.1144,0.783,0.000,23.92,0.1114,1.63,0.0617,3.37,0.0958,"580,812",99.76,0.9945,"90,374"
806,1276,0.9795,0.00,4.70,22.00,9.00,1.42,C121,5,1.20,1.51,86.80,0.00,4QP5,28.79,1.26,0.2542,9.36,93.66,1.175,0.0644,43.35,0.0436,2.98,0.0683,0.992,0.110,15.12,0.0781,1.42,0.0477,1.57,0.0488,"146,575",87.30,0.9976,"49,205"
807,1276,0.9537,0.00,4.70,22.00,9.00,1.42,C121,5,1.20,1.51,86.80,0.00,4QP5,28.79,1.26,0.4332,9.08,94.24,1.236,0.0659,43.36,0.0444,2.99,0.0653,1.008,0.112,15.15,0.0798,1.39,0.0456,1.57,0.0466,"157,788",88.22,0.9977,"52,767"
808,1276,0.9791,0.00,4.70,22.00,9.00,1.42,C121,5,1.20,1.51,86.80,0.00,4QP5,28.79,1.26,0.5490,9.48,96.44,1.376,0.0765,39.59,0.0516,3.03,0.0721,1.108,0.124,15.34,0.0926,1.46,0.0503,1.58,0.0515,"141,436",91.71,0.9967,"46,633"
568,1277,0.9778,0.00,3.70,20.00,0.00,3.26,P1211,4,1.11,0.40,7.40,0.00,1BSV,28.85,2.20,-0.5923,11.21,15.40,0.000,0.0417,48.94,0.0340,1.42,0.0537,0.723,0.000,50.33,0.0542,3.26,0.0363,1.18,0.0393,"3,885",3.42,0.9926,"2,742"
754,1283,0.9200,1.00,43.50,"2,602.00",1.00,1.68,I222,23,0.62,0.65,"3,682.70",0.00,4WSQ,76.80,1.95,-0.6281,5.10,99.37,0.000,0.2675,81.65,0.0782,9.79,0.2859,0.521,0.000,25.17,0.2790,1.68,0.1090,5.14,0.2639,"440,334",99.20,0.9866,"44,961"
62,1287,0.9795,0.00,4.30,34.00,2.00,2.07,I41,80,1.18,2.08,398.60,0.00,3PF0,21.07,2.15,0.4907,9.76,100.00,1.501,0.0919,34.08,0.0517,4.19,0.0898,1.078,0.130,32.28,0.1057,2.07,0.0592,2.14,0.0670,"123,183",99.97,0.9966,"29,416"
63,1287,0.9184,0.00,4.30,34.00,2.00,2.07,I41,80,1.18,2.08,398.60,0.00,3PF0,21.07,2.15,0.2749,9.91,100.00,1.279,0.0793,34.09,0.0445,4.20,0.0840,0.972,0.120,32.67,0.0912,2.09,0.0554,2.14,0.0627,"120,165",100.00,0.9976,"28,639"
64,1287,0.9793,0.00,4.30,34.00,2.00,2.07,I41,80,1.18,2.08,398.60,0.00,3PF0,21.07,2.15,0.5603,9.77,99.71,1.378,0.0839,40.34,0.0504,3.79,0.0808,1.042,0.134,32.24,0.0982,2.17,0.0539,1.94,0.0598,"96,754",99.52,0.9968,"25,557"
1269,1288,0.9795,0.00,4.20,18.00,4.00,1.67,C121,5,1.03,2.00,452.00,0.00,5K3W,37.28,2.50,0.5864,7.66,97.50,0.796,0.0591,34.61,0.0453,2.48,0.0719,0.579,0.082,22.09,0.0748,1.67,0.0507,1.33,0.0510,"75,378",87.92,0.9956,"30,429"
1270,1288,0.9184,0.00,4.20,18.00,4.00,1.67,C121,5,1.03,2.00,452.00,0.00,5K3W,37.28,2.50,0.4391,7.29,99.12,0.655,0.0516,34.62,0.0393,2.51,0.0702,0.498,0.074,22.23,0.0652,1.64,0.0496,1.34,0.0497,"81,911",91.01,0.9974,"32,663"
1271,1288,0.9793,0.00,4.20,18.00,4.00,1.67,C121,5,1.03,2.00,452.00,0.00,5K3W,37.28,2.50,0.4514,7.61,97.61,0.691,0.0535,34.64,0.0410,2.48,0.0697,0.523,0.078,21.97,0.0677,1.67,0.0492,1.33,0.0494,"75,580",88.25,0.9964,"30,435"
1045,1289,0.9785,0.00,6.20,26.00,7.00,2.53,I213,199,0.96,1.57,203.20,0.00,2P25,27.50,1.70,0.8712,23.26,99.95,2.404,0.0801,43.74,0.0204,15.83,0.0642,1.403,0.077,73.14,0.0827,2.53,0.0219,8.28,0.0603,"168,734",99.96,0.9994,"10,660"
1183,1292,0.9796,0.00,4.20,16.00,6.00,1.16,P1211,4,1.00,1.74,228.90,0.00,1XS0,25.53,1.58,0.3263,11.34,87.98,1.509,0.0796,33.22,0.0345,5.86,0.0805,0.982,0.130,6.42,0.0870,1.16,0.0439,3.03,0.0671,"200,253",85.17,0.9986,"34,193"
103,1293,0.9796,0.00,9.00,59.00,3.00,1.57,I422,97,0.86,1.42,713.40,0.00,1OKI,45.30,1.40,-0.0644,16.28,79.80,0.000,0.0649,37.44,0.0264,6.10,0.0696,0.919,0.000,16.72,0.0703,1.57,0.0351,3.43,0.0598,"140,944",69.42,0.9982,"23,118"
1245,1296,0.9792,1.00,17.80,870.00,5.00,1.73,P65,170,0.71,0.87,"2,095.20",0.00,4KH8,62.12,1.60,-0.0324,9.41,100.00,0.000,0.1010,40.15,0.0410,6.92,0.1096,0.820,0.000,21.88,0.1092,1.73,0.0571,3.51,0.0931,"247,366",98.89,0.9985,"35,769"
171,1300,0.9793,0.00,7.00,28.00,0.00,1.70,P6522,179,0.83,1.08,88.80,0.00,3UE2,35.00,1.23,0.7483,15.73,99.44,1.972,0.0969,50.89,0.0326,8.72,0.0855,1.268,0.112,16.75,0.1024,1.70,0.0368,4.90,0.0770,"255,849",95.63,0.9988,"29,327"
172,1300,0.9537,0.00,7.00,28.00,0.00,1.70,P6522,179,0.83,1.08,88.80,0.00,3UE2,35.00,1.23,0.5208,16.45,96.71,1.570,0.0776,50.93,0.0267,8.14,0.0752,1.066,0.092,17.45,0.0822,1.70,0.0328,4.63,0.0675,"232,446",90.21,0.9992,"28,542"
871,1307,0.9792,1.00,13.00,92.00,1.00,1.84,P6322,182,1.03,1.67,803.50,0.00,3CDX,37.46,2.10,0.6646,14.07,98.63,1.815,0.1673,45.69,0.0405,17.00,0.1588,1.182,0.146,18.35,0.1723,1.84,0.0513,9.15,0.1501,"597,212",98.38,0.9985,"35,130"
872,1307,0.9184,1.00,13.00,92.00,1.00,1.84,P6322,182,1.03,1.67,803.50,0.00,3CDX,37.46,2.10,0.2373,11.67,100.00,1.475,0.1825,43.18,0.0496,14.14,0.1856,0.978,0.142,18.19,0.1893,1.82,0.0668,7.60,0.1731,"520,205",99.98,0.9981,"36,780"
873,1307,0.9791,1.00,13.00,92.00,1.00,1.84,P6322,182,1.03,1.67,803.50,0.00,3CDX,37.46,2.10,0.4812,12.51,99.33,1.612,0.1739,45.73,0.0479,13.63,0.1709,1.100,0.149,18.32,0.1806,1.87,0.0622,7.34,0.1590,"459,716",99.17,0.9979,"33,739"
1244,1311,0.9788,1.00,14.70,281.00,1.00,1.86,C121,5,0.86,1.07,788.70,0.00,3SBU,50.38,2.15,0.4258,10.78,94.30,1.041,0.0486,32.69,0.0312,3.17,0.0490,0.823,0.073,43.93,0.0580,1.86,0.0344,1.70,0.0349,"75,064",84.05,0.9981,"23,713"
659,1312,0.9796,0.00,7.70,47.00,1.00,1.57,P212121,19,1.15,1.33,142.70,0.00,4NS5,34.09,1.90,-0.0800,6.97,99.21,0.895,0.1018,68.77,0.0470,5.18,0.1124,0.648,0.118,18.40,0.1125,1.57,0.0620,2.80,0.0931,"236,686",93.49,0.9933,"45,682"
337,1318,0.9795,1.00,26.60,"1,186.00",2.00,1.32,P2221,17,0.50,0.55,"1,821.90",0.00,5UEW,79.49,1.83,0.0348,19.78,68.93,0.000,0.0320,34.79,0.0177,3.58,0.0356,0.894,0.000,10.35,0.0368,1.32,0.0219,2.10,0.0279,"65,948",55.14,0.9982,"18,435"
1250,132,0.9793,1.00,9.80,126.00,8.00,1.19,C121,5,1.19,1.30,396.00,0.00,4ECG,40.61,2.30,0.1125,10.54,73.64,1.119,0.0735,41.81,0.0448,3.42,0.0766,1.139,0.092,12.29,0.0863,1.19,0.0524,1.79,0.0557,"275,232",69.38,0.9950,"80,453"
1251,132,0.8550,1.00,9.80,126.00,8.00,1.19,C121,5,1.19,1.30,396.00,0.00,4ECG,40.61,2.30,-0.0036,8.36,91.33,0.961,0.0663,41.18,0.0404,3.55,0.0740,0.852,0.098,12.29,0.0778,1.15,0.0505,1.83,0.0538,"392,375",88.66,0.9965,"110,616"
1252,132,0.9791,1.00,9.80,126.00,8.00,1.19,C121,5,1.19,1.30,396.00,0.00,4ECG,40.61,2.30,0.0787,10.40,73.86,1.028,0.0681,41.86,0.0416,3.43,0.0725,1.018,0.088,12.56,0.0800,1.19,0.0496,1.80,0.0526,"276,499",69.63,0.9953,"80,697"
273,1322,0.9790,0.00,6.50,32.00,0.00,1.69,P42212,94,1.04,1.73,250.10,0.00,2GU3,22.48,1.74,0.1646,8.62,98.88,1.191,0.0765,42.47,0.0344,5.29,0.0807,0.735,0.113,31.77,0.0842,1.69,0.0436,2.90,0.0674,"155,531",93.81,0.9982,"29,418"
274,1322,0.9184,0.00,6.50,32.00,0.00,1.69,P42212,94,1.04,1.73,250.10,0.00,2GU3,22.48,1.74,0.1346,8.58,98.06,1.239,0.0824,42.50,0.0371,5.30,0.0867,0.746,0.127,31.09,0.0907,1.75,0.0470,2.91,0.0723,"139,680",93.03,0.9981,"26,356"
275,1322,0.9785,0.00,6.50,32.00,0.00,1.69,P42212,94,1.04,1.73,250.10,0.00,2GU3,22.48,1.74,0.4344,9.08,98.27,1.291,0.0836,42.53,0.0381,5.41,0.0832,0.760,0.150,21.71,0.0922,1.88,0.0455,2.97,0.0690,"115,906",94.50,0.9986,"21,412"
881,1323,1.0121,0.00,3.70,12.00,6.00,1.75,C121,5,0.92,1.96,332.80,0.00,5MGE,29.57,1.95,-0.6615,4.59,97.72,0.000,0.1133,40.46,0.0709,3.27,0.1422,0.660,0.000,19.40,0.1341,1.75,0.0982,1.78,0.1025,"41,714",88.44,0.9900,"12,766"
677,1324,0.9686,1.00,15.60,188.00,0.00,2.48,P212121,19,0.74,0.52,83.40,0.00,4BW5,69.85,3.20,-0.2335,12.07,100.00,0.000,0.0880,81.76,0.0277,10.88,0.0930,0.844,0.000,71.24,0.0924,2.48,0.0376,5.75,0.0848,"401,350",99.78,0.9985,"36,890"
595,1325,0.9763,1.00,35.90,"1,524.00",0.00,1.65,P6522,179,0.93,0.62,"1,735.20",0.00,2HXT,51.61,1.70,0.3238,18.74,94.74,1.409,0.1159,52.87,0.0202,28.39,0.1163,1.017,0.095,15.71,0.1177,1.65,0.0271,15.28,0.1129,"2,205,919",93.86,0.9994,"77,698"
986,133,0.9795,1.00,17.80,323.00,3.00,2.43,C2221,20,0.73,1.15,"1,452.70",0.00,1RW8,65.66,2.40,-0.0561,10.06,89.28,0.000,0.0767,35.36,0.0431,3.57,0.0854,0.883,0.000,36.16,0.0885,2.43,0.0533,2.08,0.0662,"41,169",72.60,0.9971,"11,536"
133,1331,0.9793,0.00,5.20,18.00,9.00,1.69,P41212,92,1.03,2.06,526.20,0.00,3FX3,21.24,2.20,0.2376,11.72,100.00,1.076,0.0719,48.10,0.0289,7.10,0.0748,0.919,0.086,22.72,0.0776,1.69,0.0378,3.82,0.0642,"213,561",99.81,0.9990,"30,099"
134,1331,0.9184,0.00,5.20,18.00,9.00,1.69,P41212,92,1.03,2.06,526.20,0.00,3FX3,21.24,2.20,0.3263,14.52,100.00,1.334,0.0834,48.09,0.0246,10.36,0.0843,1.018,0.088,22.42,0.0871,1.67,0.0323,5.56,0.0775,"322,949",100.00,0.9991,"31,186"
